id,provincia,canton,nombre,tipo_parroquia
775,7,365,CAÑAQUEMADA,Rural
5160,3,240,CAÑAR,Urbana
5080,1,260,CAÑARIBAMBA,Urbana
510,22,630,CAP. AUGUSTO RIVADENEIRA,Rural
505,7,370,CAPIRO,Rural
515,6,220,CAPZOL,Rural
520,12,515,CARACOL,Rural
5165,10,30,CARANQUI,Urbana
5170,9,390,CARBO/CONCEPCION,Urbana
1695,7,375,CARCABON,Rural
7135,17,60,CARCELEN,Urbana
5175,11,320,CARIAMANGA,Urbana
6280,24,405,CARLOS ESPINOZA LARREA,Urbana
6760,15,621,CARLOS J. AROSEMENA TOLA,Urbana
530,10,30,CAROLINA /GUALLUPI,Rural
535,8,580,CARONDELET,Rural
4495,7,365,CASACAY,Rural
995,11,310,CASANGA,Rural
540,13,495,CASCOL,Rural
5180,11,310,CATACOCHA,Urbana
5270,11,290,CATAMAYO,Urbana
5185,12,535,CATARAMA,Urbana
5190,17,65,CAYAMBE,Urbana
4605,11,295,CAZADEROS,Rural
555,6,210,CEBADAS,Rural
5230,18,135,CELIANO MONGE,Urbana
5195,11,315,CELICA,Urbana
7140,17,60,CENTRO HISTORICO,Urbana
6555,18,845,CEVALLOS,Urbana
4590,12,545,CHACARITA,Rural
805,7,375,CHACRAS,Rural
6530,11,815,CHAGUARPAMBA,Urbana
5475,6,190,CHAMBO,Urbana
820,24,410,CHANDUY,Rural
825,11,335,CHANGAIMINA /LA LIBERTAD,Rural
4475,11,300,CHANTACO,Rural
830,5,115,CHANTILIN,Rural
835,11,730,CHAQUINAL,Rural
840,13,475,CHARAPOTO,Rural
845,1,260,CHAUCHA / ANGAS,Rural
850,17,70,CHAUPI,Rural
855,17,60,CHAVEZPAMBA,Rural
865,17,60,CHECA,Rural
860,1,260,CHECA JIDCAY,Rural
405,13,480,CHIBUNGA,Rural
870,1,275,CHICAN / GUILLERMO ORTEGA,Rural
985,19,670,CHICANA,Rural
875,14,795,CHIGUAZA,Rural
6175,23,85,CHIGUILPE,Urbana
880,14,595,CHIGUINDA,Rural
5240,11,320,CHILE,Urbana
7155,17,60,CHILIBULO,Urbana
5715,7,585,CHILLA,Urbana
5245,2,180,CHILLANES,Urbana
5260,17,60,CHILLOGALLO,Urbana
5015,17,60,CHIMBACALLE,Urbana
895,8,560,CHINCA,Rural
900,18,140,CHIQUICHA,Rural
905,1,260,CHIQUINTAD,Rural
1925,13,440,CHIRIJOS,Rural
910,4,10,CHITAN DE NAVARRETES,Rural
915,19,660,CHITO,Rural
920,9,420,CHOBO,Rural
5250,13,480,CHONE,Urbana
930,8,561,CHONTADURO,Rural
935,3,240,CHONTAMARCA,Rural
940,15,620,CHONTAPUNTA,Rural
6435,1,915,CHORDELEG,Urbana
950,3,240,CHOROCOPTE,Rural
955,10,50,CHUGA,Rural
960,5,930,CHUGCHILAN,Rural
4560,1,855,CHUMBLIN,Rural
965,8,561,CHUMUNDE,Rural
5255,6,220,CHUNCHI,Urbana
970,14,605,CHUPIANZA,Rural
975,11,300,CHUQUIRIBAMBA,Rural
980,8,575,CHURA,Rural
565,11,330,CIANO,Rural
5225,18,145,CIUDAD NUEVA,Urbana
5215,12,515,CLEMENTE BAQUERIZO,Urbana
7145,17,60,COCHAPAMBA,Urbana
990,5,115,COCHAPAMBA,Rural
575,1,885,COCHAPATA,Rural
580,13,910,COJIMIES,Rural
585,3,235,COJITAMBO,Rural
590,11,320,COLAIZACA,Rural
5365,9,125,COLIMES,Urbana
5265,13,440,COLON,Urbana
1510,8,565,COLON ELOY DE MARIA,Rural
605,24,410,COLONCHE,Rural
7490,13,445,COLORADO,Urbana
610,6,205,COLUMBE,Rural
7150,17,60,COMITE DEL PUEBLO,Urbana
615,6,220,COMPUD,Rural
620,8,580,CONCEPCION,Rural
625,17,60,CONOCOTO,Rural
630,22,630,CONONACO,Rural
635,18,135,CONSTANTINO FERNANDEZ,Rural
640,13,480,CONVENTO,Rural
645,14,605,COPAL,Rural
4480,7,705,CORDONCILLO,Rural
650,17,70,CORNEJO ASTORGA /TANDAPI,Rural
670,15,635,COSANGA,Rural
675,18,140,COTALO,Rural
5220,17,60,COTOCOLLAO,Urbana
680,17,80,COTOGCHOA,Rural
685,15,700,COTUNDO,Rural
690,4,10,CRISTOBAL COLON,Rural
660,9,790,CRNEL. LORENZO GARAICOA,Rural
6410,9,890,CRNL MARCELINO MARIDUENAS,Urbana
655,8,560,CRNL.CARLOS CONCHA TORRES,Rural
770,13,440,CRUCITA,Rural
695,11,315,CRUZPAMBA/BUSTAMANTE,Rural
700,8,575,CUBE / CHANCAMA,Rural
705,6,195,CUBIJIES,Rural
1250,14,590,CUCHAENTZA,Rural
6420,6,900,CUMANDA,Urbana
715,14,615,CUMANDA,Rural
720,19,655,CUMBARATZA,Rural
725,17,60,CUMBAYA,Rural
730,1,260,CUMBE,Rural
800,18,135,CUNCHIBAMBA,Rural
735,16,881,CURARAY,Rural
740,7,690,CURTINCAPAC,Rural
745,5,110,CUSUBAMBA,Rural
750,1,280,CUTCHIL,Rural
755,17,70,CUTUGLAGUA,Rural
760,21,626,CUYABENO,Rural
765,15,635,CUYUJA,Rural
1005,1,265,DANIEL CORDOVA TORAL,Rural
5275,9,400,DAULE,Urbana
1010,8,570,DAULE,Rural
1235,22,645,DAYUMA,Rural
6425,3,905,DELEG,Urbana
7515,9,820,DIVINO NINO,Urbana
1040,10,35,DR MIGUEL EGAS/PEGUCHE,Rural
5285,12,515,DR. CAMILO PONCE E.,Urbana
7465,13,455,DR. MIGUEL MORAN LUCIO,Urbana
1895,3,240,DUCUR,Rural
890,1,275,DUG-DUG,Rural
1045,21,625,DURENO,Rural
5350,2,185,ECHEANDIA,Urbana
6815,7,695,ECUADOR,Urbana
1645,11,340,EL AIRO,Rural
1110,6,225,EL ALTAR,Rural
1115,13,455,EL ANEGADO,Rural
5295,4,15,EL ANGEL,Urbana
270,11,330,EL ARENAL,Rural
5135,1,260,EL BATAN,Urbana
4565,1,275,EL CABO,Rural
6795,7,350,EL CAMBIO,Urbana
1125,4,5,EL CARMELO/EL PUN/,Rural
6880,5,825,EL CARMEN,Urbana
5300,13,500,EL CARMEN,Urbana
